Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Spon Rating,Ind Grp RS,PE Ratio,Vol- 50 Day Avg. (1000s)
USAR,15.92,32,7.57,-35,50,93,B,1,E,C,A,,"20,435"
UUUU,17.75,32,-1.11,-39,65,98,B,23,D,C,A,,"12,765"
VALE,16.19,32,0.87,-46,69,93,D-,15,C,D,A,29,"37,256"
VMET,9.94,32,5.19,-33,48,30,,15,C,,A,,207
WRN,2.54,32,-3.05,-49,58,93,B-,20,,,A,,"2,150"
WWR,0.63,32,-4.55,-41,15,23,C-,1,,C,A,,"1,480"
XPL,0.85,32,-1.16,-76,79,87,A,40,,C,A,,472
ACHR,5.42,33,4.03,-34,31,11,C+,38,E,C,A,,"31,793"
AIR,109.78,33,-1.43,-15,98,93,B,97,B,C,A,24,481
AIRI,3.23,33,-0.31,-54,72,53,A-,71,E,B,A,,109
AIRO,8.71,33,5.96,17,39,11,C,52,C,B,A,,544
ASLE,6.17,33,-0.96,-26,39,23,D-,44,D,B,A,18,265
ATI,146.63,33,-3.05,-3,95,96,B,95,B,B,A,45,"2,271"
ATRO,69.84,33,-1.24,-35,98,96,B-,75,A,B,A,34,642
AVAV,184.36,33,0.47,-60,62,23,D,86,A,C,A,61,"1,785"
BA,208.22,33,0.43,-9,81,62,C-,60,B,B,A,289,"7,329"
BAER,2.02,33,1.51,-65,49,85,C-,26,,B,A,,762
BETA,15.43,33,2.25,-10,14,5,D-,1,D,B,A,,"1,555"
CAE,26.43,33,-0.53,-8,63,29,D,80,C,E,A,80,779
CODA,11.89,33,2.32,-62,86,93,C+,57,B,B,A,33,294
CRS,391.51,33,-3.17,-40,98,94,B-,98,B,B,A,44,838
CVU,3.56,33,4.40,3,51,67,C+,27,E,A,A,,113
CW,694.88,33,-0.30,-30,97,93,B-,92,A,C,A,52,323
DCO,127.04,33,0.48,-37,89,94,B,75,C,C,A,34,166
DFSC,2.23,33,9.85,-75,45,17,B+,61,D,,A,,157
DPRO,5.40,33,10.66,1,51,86,D+,19,D,,A,,"2,041"
DRS,46.30,33,0.96,-21,92,85,C+,86,B,C,A,41,"1,201"
EH,10.36,33,2.47,-17,31,10,D-,35,D,,A,207,589
EMBJ,62.76,33,0.59,14,85,72,C+,58,C,C,A,45,"1,430"
ESLT,888.97,33,-0.84,-27,96,96,B,91,B,,A,70,180
ESP,56.76,33,-0.46,-52,94,92,B-,97,B,,A,17,20
EVEX,2.64,33,3.53,6,13,10,E,8,,C,A,,"1,245"
EVTL,2.28,33,0.88,52,34,5,D-,70,E,,A,1,"1,741"
FJET,6.61,33,7.83,-9,22,12,B-,22,,,A,,"1,291"
FLY,32.93,33,10.65,78,56,65,A-,18,D,C,A,,"4,350"
FLYX,2.39,33,0.42,-75,18,13,C,17,,B,A,,604
FTAI,242.69,33,-2.85,-43,97,95,D+,71,A,C,A,53,"1,758"
GD,349.09,33,-0.41,-19,85,77,D+,72,B,C,A,23,"1,363"
GE,281.16,33,-3.94,-10,93,70,D-,96,A,B,A,44,"5,885"
HEI,271.77,33,-1.35,-9,79,24,C,97,A,C,A,55,641
